"data/spectra/194prokne.lbl     ","Sawyer, S., 194prokne. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_194PROKNE_TAB. NASA Planetary Data System, 1998.                   ","194 PROKNE    ","ASTEROID","194prokne.tab     ","SPECTRA_194PROKNE_TAB     ","1990-07-07","1990-07-07","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/19fortuna1.lbl    ","Sawyer, S., 19fortuna1. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_19FORTUNA1_TAB. NASA Planetary Data System, 1998.                 ","19 FORTUNA    ","ASTEROID","19fortuna1.tab    ","SPECTRA_19FORTUNA1_TAB    ","1986-11-23","1986-11-23","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/19fortuna2.lbl    ","Sawyer, S., 19fortuna2. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_19FORTUNA2_TAB. NASA Planetary Data System, 1998.                 ","19 FORTUNA    ","ASTEROID","19fortuna2.tab    ","SPECTRA_19FORTUNA2_TAB    ","1986-11-25","1986-11-25","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/19fortuna3.lbl    ","Sawyer, S., 19fortuna3. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_19FORTUNA3_TAB. NASA Planetary Data System, 1998.                 ","19 FORTUNA    ","ASTEROID","19fortuna3.tab    ","SPECTRA_19FORTUNA3_TAB    ","1986-12-20","1986-12-20","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/19fortuna4.lbl    ","Sawyer, S., 19fortuna4. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_19FORTUNA4_TAB. NASA Planetary Data System, 1998.                 ","19 FORTUNA    ","ASTEROID","19fortuna4.tab    ","SPECTRA_19FORTUNA4_TAB    ","1986-12-24","1986-12-24","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/203pompeja.lbl    ","Sawyer, S., 203pompeja. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_203POMPEJA_TAB. NASA Planetary Data System, 1998.                 ","203 POMPEJA   ","ASTEROID","203pompeja.tab    ","SPECTRA_203POMPEJA_TAB    ","1988-10-06","1988-10-06","MCD27           ","McDonald Observatory 2.72-m Harlan Smith Ritchey-Chretien equatorial refl.                                                                 ","LCS         ","Large Cassegrain Spectrometer","SAWYER1991                              "
"data/spectra/20massalia1.lbl   ","Sawyer, S., 20massalia1. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_20MASSALIA1_TAB. NASA Planetary Data System, 1998.               ","20 MASSALIA   ","ASTEROID","20massalia1.tab   ","SPECTRA_20MASSALIA1_TAB   ","1983-09-15","1983-09-15","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/20massalia2.lbl   ","Sawyer, S., 20massalia2. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_20MASSALIA2_TAB. NASA Planetary Data System, 1998.               ","20 MASSALIA   ","ASTEROID","20massalia2.tab   ","SPECTRA_20MASSALIA2_TAB   ","1983-09-16","1983-09-16","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/20massalia3.lbl   ","Sawyer, S., 20massalia3. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_20MASSALIA3_TAB. NASA Planetary Data System, 1998.               ","20 MASSALIA   ","ASTEROID","20massalia3.tab   ","SPECTRA_20MASSALIA3_TAB   ","1983-09-19","1983-09-19","MCD21           ","McDonald Observatory 2.1-m Struve Warner & Swasey reflector                                                                                ","ES2         ","Cassegrain Spectrometer      ","SAWYER1991                              "
"data/spectra/212medea.lbl      ","Sawyer, S., 212medea. EAR-A-3-RDR-SAWYER-ASTEROID-SPECTRA-V1.2:SPECTRA_212MEDEA_TAB. NASA Planetary Data System, 1998.                     ","212 MEDEA     ","ASTEROID","212medea.tab      ","SPECTRA_212MEDEA_TAB      ","1988-10-04","1988-10-04","MCD27           ","McDonald Observatory 2.72-m Harlan Smith Ritchey-Chretien equatorial refl.                                                                 ","LCS         ","Large Cassegrain Spectrometer","SAWYER1991                              "
